accuracy,loss,val_accuracy,val_loss,learning_rate
0.7974706292152405,0.5326722860336304,0.8952245116233826,0.2864125967025757,0.0010000000474974513
0.8657819628715515,0.36354488134384155,0.8995010852813721,0.26355984807014465,0.0010000000474974513
0.8760242462158203,0.33383962512016296,0.9073414206504822,0.25008201599121094,0.0010000000474974513
0.8802992701530457,0.3193495571613312,0.9005702137947083,0.2533225119113922,0.0010000000474974513
0.8843070864677429,0.3099755346775055,0.9094796776771545,0.248367577791214,0.0010000000474974513
0.882703959941864,0.31100156903266907,0.9012829661369324,0.25003838539123535,0.0010000000474974513
0.8859992623329163,0.30248701572418213,0.9101924300193787,0.24616098403930664,0.0010000000474974513
0.8865336775779724,0.30065539479255676,0.9076977968215942,0.24594005942344666,0.0010000000474974513
0.8876914978027344,0.29999810457229614,0.9126871228218079,0.24533070623874664,0.0010000000474974513
0.8893836736679077,0.30045783519744873,0.906272292137146,0.25148266553878784,0.0010000000474974513
0.8893836736679077,0.3005611300468445,0.9130434989929199,0.24687594175338745,0.0010000000474974513
0.8890274167060852,0.2994910180568695,0.9055595397949219,0.24897079169750214,0.0010000000474974513
0.8892946243286133,0.298123300075531,0.9037775993347168,0.2501705288887024,0.0010000000474974513
0.8900961875915527,0.29306942224502563,0.898788332939148,0.2621361315250397,0.0010000000474974513
0.8983790278434753,0.27139773964881897,0.9044903516769409,0.25286683440208435,0.00010000000474974513
0.9003384113311768,0.274033784866333,0.906272292137146,0.24769340455532074,0.00010000000474974513
