accuracy,loss,val_accuracy,val_loss,learning_rate
0.7815282940864563,0.5933066606521606,0.8995010852813721,0.2813059389591217,0.0010000000474974513
0.8659601211547852,0.3625430762767792,0.9166072607040405,0.24186581373214722,0.0010000000474974513
0.8802101612091064,0.3295762836933136,0.9187455177307129,0.23519419133663177,0.0010000000474974513
0.8797648549079895,0.32042616605758667,0.9169636368751526,0.23225338757038116,0.0010000000474974513
0.8784289360046387,0.31975415349006653,0.9194583296775818,0.22280104458332062,0.0010000000474974513
0.8825258016586304,0.3122859001159668,0.9219529628753662,0.2186538428068161,0.0010000000474974513
0.8827930092811584,0.3088388741016388,0.9194583296775818,0.22420735657215118,0.0010000000474974513
0.885286808013916,0.30648842453956604,0.9183891415596008,0.2229461520910263,0.0010000000474974513
0.8883149027824402,0.29611295461654663,0.92088383436203,0.22408850491046906,0.0010000000474974513
0.8861774206161499,0.3053823411464691,0.9244475960731506,0.21752120554447174,0.0010000000474974513
0.8863555192947388,0.30133453011512756,0.9191019535064697,0.22296792268753052,0.0010000000474974513
0.885732114315033,0.3042321801185608,0.9162508845329285,0.2264070212841034,0.0010000000474974513
0.8888493180274963,0.2981088161468506,0.9180327653884888,0.2190280258655548,0.0010000000474974513
0.8840398788452148,0.304397314786911,0.9191019535064697,0.22069135308265686,0.0010000000474974513
0.8878695964813232,0.29128333926200867,0.9194583296775818,0.22812527418136597,0.0010000000474974513
