accuracy,loss,val_accuracy,val_loss,learning_rate
0.8935696482658386,0.291851669549942,0.9290805459022522,0.20583947002887726,9.999999747378752e-06
0.9039900302886963,0.2571902871131897,0.9312188029289246,0.19911526143550873,9.999999747378752e-06
0.9084431529045105,0.24342279136180878,0.9301496744155884,0.19433526694774628,9.999999747378752e-06
0.914677619934082,0.2280375361442566,0.9322879314422607,0.18972115218639374,9.999999747378752e-06
0.9218916893005371,0.21761274337768555,0.935139000415802,0.1855153739452362,9.999999747378752e-06
0.9225151538848877,0.20963691174983978,0.9354953765869141,0.18272104859352112,9.999999747378752e-06
0.9261667132377625,0.19995619356632233,0.935139000415802,0.18081872165203094,9.999999747378752e-06
0.9293729662895203,0.19663648307323456,0.9354953765869141,0.17952057719230652,9.999999747378752e-06
0.9299964308738708,0.19461612403392792,0.9376336336135864,0.1767122447490692,9.999999747378752e-06
0.9323120713233948,0.18962496519088745,0.9365645051002502,0.17675670981407166,9.999999747378752e-06
0.9379230737686157,0.17173774540424347,0.9387027621269226,0.17526191473007202,9.999999747378752e-06
0.9388136863708496,0.17058810591697693,0.9387027621269226,0.1750376969575882,9.999999747378752e-06
0.9383683800697327,0.16613638401031494,0.942266583442688,0.17425693571567535,9.999999747378752e-06
0.9418418407440186,0.15827488899230957,0.9401282668113708,0.1730816662311554,9.999999747378752e-06
0.9423761963844299,0.1558080017566681,0.9376336336135864,0.1732943058013916,9.999999747378752e-06
0.9422871470451355,0.14756566286087036,0.9415538311004639,0.17250807583332062,9.999999747378752e-06
0.9465621709823608,0.1424483358860016,0.9401282668113708,0.17157448828220367,9.999999747378752e-06
0.9501246809959412,0.14098487794399261,0.9397718906402588,0.17197613418102264,9.999999747378752e-06
